longitude,latitude,light_intensity,year,normalized_light_intensity,country
141.50416923870006,40.537499724300005,406.0378,2020,0.3751505641050754,Japan
141.50416923870006,40.5333330576,546.2102,2020,0.5041833923039868,Japan
141.50833590540006,40.5333330576,451.47418,2020,0.4169760919159744,Japan
139.70416922430005,35.695833018900004,394.33347,2020,0.3643763831530952,Japan
139.70416922430005,35.6916663522,328.94742,2020,0.3041865957466198,Japan
136.86250253490005,35.0291663469,836.67065,2020,0.7715608028600482,Japan
136.86666920160005,35.0291663469,1084.8313,2020,1.0,Japan
136.87083586830005,35.0291663469,575.7964,2020,0.531418361967477,Japan
136.86666920160005,35.024999680200004,802.6983,2020,0.7402882527641429,Japan
136.87083586830005,35.024999680200004,355.2916,2020,0.3284371903856586,Japan
136.86250253490005,35.0208330135,379.1149,2020,0.350367240638284,Japan
136.86666920160005,35.0208330135,339.36835,2020,0.3137793691482515,Japan
141.35000257080006,43.054166411100006,251.61743,2021,0.353906991369934,Japan
141.35416923750006,43.054166411100006,328.34006,2021,0.461180027261965,Japan
141.35833590420003,43.054166411100006,251.9108,2021,0.3543171792185472,Japan
141.50000257200006,40.537499724300005,372.807,2021,0.5233533866818493,Japan
141.50416923870006,40.537499724300005,466.88937,2021,0.65489868764217,Japan
141.50000257200006,40.5333330576,504.08887,2021,0.7069107641138135,Japan
141.50416923870006,40.5333330576,713.7089,2021,1.0,Japan
141.50833590540006,40.5333330576,374.64703,2021,0.525926103548208,Japan
139.71250255770005,35.7333330192,213.3966,2021,0.3004668985522971,Japan
139.70000255760004,35.695833018900004,298.73254,2021,0.419783003259607,Japan
139.70416922430005,35.695833018900004,410.80008,2021,0.5764750410684207,Japan
139.70833589100005,35.695833018900004,271.14264,2021,0.38120700119923,Japan
139.70000255760004,35.6916663522,263.67404,2021,0.370764457768912,Japan
139.70416922430005,35.6916663522,356.51028,2021,0.5005674286212043,Japan
139.70833589100005,35.6916663522,226.1126,2021,0.3182463193620772,Japan
139.70000255760004,35.662499685300006,295.05765,2021,0.4146447981841389,Japan
139.69583589090004,35.658333018600004,226.98494,2021,0.319466018949149,Japan
139.70000255760004,35.658333018600004,288.42386,2021,0.4053694801616702,Japan
135.50000252400005,34.699999677600005,217.19225,2021,0.3057739494013567,Japan
135.50416919070005,34.699999677600005,215.39049,2021,0.3032547413769599,Japan
135.50000252400005,34.6708330107,253.89006,2021,0.3570845664812057,Japan
135.50416919070005,34.6708330107,280.82202,2021,0.3947406415104734,Japan
135.50833585740006,34.6708330107,214.1147,2021,0.301470940867766,Japan
135.50000252400005,34.66666634400001,237.06026,2021,0.3335532597538985,Japan
135.50416919070005,34.66666634400001,254.95813,2021,0.3585779343629532,Japan
133.43333584080003,34.470833009100005,280.91312,2021,0.3948680168828995,Japan
133.43750250750006,34.470833009100005,233.17523,2021,0.3281212384241863,Japan
135.12083585430003,34.2291663405,275.11166,2021,0.386756456749909,Japan
135.12500252100006,34.2291663405,260.64227,2021,0.3665254585058994,Japan
132.53750250030004,34.220833007100005,250.12271,2021,0.3518170844909788,Japan
120.1000024008,16.124999529000004,59.357586,2020,0.358053086786224,Philippines
120.5500024044,15.1874995215,50.220715,2020,0.3029382297716962,Philippines
120.5458357377,15.183332854800003,64.02257,2020,0.3861929090661993,Philippines
120.5500024044,15.183332854800003,73.45185,2020,0.4430716172092764,Philippines
120.5458357377,15.179166188100002,60.7452,2020,0.3664233644448838,Philippines
120.5500024044,15.179166188100002,54.396633,2020,0.3281279389702165,Philippines
120.9666690744,14.754166184700004,55.331203,2020,0.3337653931840351,Philippines
121.0375024083,14.641666183800002,57.47288,2020,0.346684282115082,Philippines
121.041669075,14.641666183800002,54.643368,2020,0.3296162782764713,Philippines
120.9541690743,14.637499517100004,50.584866,2020,0.3051348384681195,Philippines
121.0375024083,14.637499517100004,51.47915,2020,0.3105292820134404,Philippines
120.958335741,14.620832850300005,52.217083,2020,0.3149805949170922,Philippines
121.0500024084,14.620832850300005,52.946808,2020,0.3193823960407948,Philippines
121.0541690751,14.620832850300005,60.750137,2020,0.3664531451049239,Philippines
120.958335741,14.616666183600003,88.961685,2020,0.536629065743235,Philippines
120.9625024077,14.616666183600003,56.31134,2020,0.3396777137814966,Philippines
121.0541690751,14.616666183600003,54.10115,2020,0.3263455450527338,Philippines
120.958335741,14.612499516900002,89.53049,2020,0.5400601753916199,Philippines
120.9625024077,14.612499516900002,67.09237,2020,0.4047103630242553,Philippines
120.9500024076,14.608332850200004,73.88574,2020,0.4456889011032959,Philippines
120.958335741,14.608332850200004,70.96385,2020,0.4280636605190545,Philippines
120.9625024077,14.608332850200004,72.34769,2020,0.4364111728929278,Philippines
120.958335741,14.604166183500002,69.90757,2020,0.4216920349190756,Philippines
120.9625024077,14.604166183500002,73.57488,2020,0.4438137510161888,Philippines
120.9666690744,14.604166183500002,58.07485,2020,0.350315447584862,Philippines
120.9708357411,14.604166183500002,50.980244,2020,0.3075198127045611,Philippines
120.9500024076,14.599999516800002,142.28844,2020,0.8583033541154527,Philippines
120.9541690743,14.599999516800002,121.14939,2020,0.7307897098741195,Philippines
120.958335741,14.599999516800002,67.399994,2020,0.406565993116246,Philippines
120.9625024077,14.599999516800002,60.086452,2020,0.3624497063043009,Philippines
120.9666690744,14.599999516800002,51.491093,2020,0.3106013238248357,Philippines
120.9458357409,14.595832850100004,85.27695,2020,0.5144022396600577,Philippines
120.9500024076,14.595832850100004,113.74062,2020,0.6860989947262837,Philippines
120.9791690745,14.595832850100004,50.612144,2020,0.305299383099388,Philippines
