longitude,latitude,normalized_light_intensity
141.35000257080006,43.054166411100006,0.353906991369934
141.35416923750006,43.054166411100006,0.461180027261965
141.35833590420003,43.054166411100006,0.3543171792185472
141.50000257200006,40.537499724300005,0.5233533866818493
141.50416923870006,40.537499724300005,0.65489868764217
141.50000257200006,40.5333330576,0.7069107641138135
141.50416923870006,40.5333330576,1.0
141.50833590540006,40.5333330576,0.525926103548208
139.71250255770005,35.7333330192,0.3004668985522971
139.70000255760004,35.695833018900004,0.419783003259607
139.70416922430005,35.695833018900004,0.5764750410684207
139.70833589100005,35.695833018900004,0.38120700119923
139.70000255760004,35.6916663522,0.370764457768912
139.70416922430005,35.6916663522,0.5005674286212043
139.70833589100005,35.6916663522,0.3182463193620772
139.70000255760004,35.662499685300006,0.4146447981841389
139.69583589090004,35.658333018600004,0.319466018949149
139.70000255760004,35.658333018600004,0.4053694801616702
135.50000252400005,34.699999677600005,0.3057739494013567
135.50416919070005,34.699999677600005,0.3032547413769599
135.50000252400005,34.6708330107,0.3570845664812057
135.50416919070005,34.6708330107,0.3947406415104734
135.50833585740006,34.6708330107,0.301470940867766
135.50000252400005,34.66666634400001,0.3335532597538985
135.50416919070005,34.66666634400001,0.3585779343629532
133.43333584080003,34.470833009100005,0.3948680168828995
133.43750250750006,34.470833009100005,0.3281212384241863
135.12083585430003,34.2291663405,0.386756456749909
135.12500252100006,34.2291663405,0.3665254585058994
132.53750250030004,34.220833007100005,0.3518170844909788
