country,avg_d_kbps,avg_u_kbps,avg_lat_ms
Japan,87077.20987654322,85260.5925925926,20.37037037037037
Taiwan,100822.21702127659,47333.54893617021,9.353191489361702
The Philippines,53962.86313868613,47406.912408759126,14.204379562043796
