country,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,geometry,normalized_light_intensity
The Philippines,45660,43738,10,666,"POLYGON ((120.9814453125 14.5942155619439, 120.986938476562 14.5942155619439, 120.986938476562 14.5888995727386, 120.9814453125 14.5888995727386, 120.9814453125 14.5942155619439))",0.3742461337982316
The Philippines,43416,45233,11,152,"POLYGON ((120.9814453125 14.5888995727386, 120.986938476562 14.5888995727386, 120.986938476562 14.5835834551565, 120.9814453125 14.5835834551565, 120.9814453125 14.5888995727386))",0.4436983205664988
The Philippines,33529,27526,14,489,"POLYGON ((120.9814453125 14.5835834551565, 120.986938476562 14.5835834551565, 120.986938476562 14.5782672092405, 120.9814453125 14.5782672092405, 120.9814453125 14.5835834551565))",0.3411806740795433
The Philippines,33529,27526,14,489,"POLYGON ((120.9814453125 14.5835834551565, 120.986938476562 14.5835834551565, 120.986938476562 14.5782672092405, 120.9814453125 14.5782672092405, 120.9814453125 14.5835834551565))",0.388850465506796
The Philippines,37656,38889,11,676,"POLYGON ((120.986938476562 14.5835834551565, 120.992431640625 14.5835834551565, 120.992431640625 14.5782672092405, 120.986938476562 14.5782672092405, 120.986938476562 14.5835834551565))",0.3302927336415071
The Philippines,37656,38889,11,676,"POLYGON ((120.986938476562 14.5835834551565, 120.992431640625 14.5835834551565, 120.992431640625 14.5782672092405, 120.986938476562 14.5782672092405, 120.986938476562 14.5835834551565))",0.330181826817999
The Philippines,50895,49953,10,1300,"POLYGON ((121.00341796875 14.5676343325769, 121.008911132812 14.5676343325769, 121.008911132812 14.5623177019148, 121.00341796875 14.5623177019148, 121.00341796875 14.5676343325769))",0.3329611173006543
The Philippines,50895,49953,10,1300,"POLYGON ((121.00341796875 14.5676343325769, 121.008911132812 14.5676343325769, 121.008911132812 14.5623177019148, 121.00341796875 14.5623177019148, 121.00341796875 14.5676343325769))",0.3025690130985137
The Philippines,50895,49953,10,1300,"POLYGON ((121.00341796875 14.5676343325769, 121.008911132812 14.5676343325769, 121.008911132812 14.5623177019148, 121.00341796875 14.5623177019148, 121.00341796875 14.5676343325769))",0.3370719166965292
The Philippines,41447,30537,18,1367,"POLYGON ((121.008911132812 14.5676343325769, 121.014404296875 14.5676343325769, 121.014404296875 14.5623177019148, 121.008911132812 14.5623177019148, 121.008911132812 14.5676343325769))",0.3449595243086649
The Philippines,41447,30537,18,1367,"POLYGON ((121.008911132812 14.5676343325769, 121.014404296875 14.5676343325769, 121.014404296875 14.5623177019148, 121.008911132812 14.5623177019148, 121.008911132812 14.5676343325769))",0.3297218467742356
The Philippines,50532,51690,10,1907,"POLYGON ((121.019897460938 14.572950835033, 121.025390625 14.572950835033, 121.025390625 14.5676343325769, 121.019897460938 14.5676343325769, 121.019897460938 14.572950835033))",0.3012257182197598
The Philippines,35291,9972,47,135,"POLYGON ((120.9814453125 14.5463670411195, 120.986938476562 14.5463670411195, 120.986938476562 14.5410498980604, 120.9814453125 14.5410498980604, 120.9814453125 14.5463670411195))",0.3078031803684435
The Philippines,43324,33972,16,285,"POLYGON ((120.986938476562 14.5463670411195, 120.992431640625 14.5463670411195, 120.992431640625 14.5410498980604, 120.986938476562 14.5410498980604, 120.986938476562 14.5463670411195))",0.3731104861022713
The Philippines,43324,33972,16,285,"POLYGON ((120.986938476562 14.5463670411195, 120.992431640625 14.5463670411195, 120.992431640625 14.5410498980604, 120.986938476562 14.5410498980604, 120.986938476562 14.5463670411195))",0.3929545229308611
The Philippines,42641,33535,16,2070,"POLYGON ((121.00341796875 14.5623177019148, 121.008911132812 14.5623177019148, 121.008911132812 14.5570009430895, 121.00341796875 14.5570009430895, 121.00341796875 14.5623177019148))",0.3226493851710136
The Philippines,40649,33134,17,2028,"POLYGON ((121.008911132812 14.5623177019148, 121.014404296875 14.5623177019148, 121.014404296875 14.5570009430895, 121.008911132812 14.5570009430895, 121.008911132812 14.5623177019148))",0.3160192191143058
The Philippines,46021,43274,14,698,"POLYGON ((121.00341796875 14.5570009430895, 121.008911132812 14.5570009430895, 121.008911132812 14.5516840561434, 121.00341796875 14.5516840561434, 121.00341796875 14.5570009430895))",0.3121287129536972
The Philippines,45338,48839,14,2627,"POLYGON ((121.008911132812 14.5570009430895, 121.014404296875 14.5570009430895, 121.014404296875 14.5516840561434, 121.008911132812 14.5516840561434, 121.008911132812 14.5570009430895))",0.3062565387415896
The Philippines,47068,18371,27,336,"POLYGON ((120.9814453125 14.5410498980604, 120.986938476562 14.5410498980604, 120.986938476562 14.5357326270088, 120.9814453125 14.5357326270088, 120.9814453125 14.5410498980604))",0.3598057735028189
The Philippines,47137,27040,24,136,"POLYGON ((120.986938476562 14.5410498980604, 120.992431640625 14.5410498980604, 120.992431640625 14.5357326270088, 120.986938476562 14.5357326270088, 120.986938476562 14.5410498980604))",0.580834299867591
The Philippines,47137,27040,24,136,"POLYGON ((120.986938476562 14.5410498980604, 120.992431640625 14.5410498980604, 120.992431640625 14.5357326270088, 120.986938476562 14.5357326270088, 120.986938476562 14.5410498980604))",0.7436938148207296
The Philippines,34464,22914,30,230,"POLYGON ((120.9814453125 14.5357326270088, 120.986938476562 14.5357326270088, 120.986938476562 14.5304152280074, 120.9814453125 14.5304152280074, 120.9814453125 14.5357326270088))",0.3180273001582449
The Philippines,22690,16570,12,54,"POLYGON ((120.986938476562 14.5357326270088, 120.992431640625 14.5357326270088, 120.992431640625 14.5304152280074, 120.986938476562 14.5304152280074, 120.986938476562 14.5357326270088))",0.7929833441667296
The Philippines,22690,16570,12,54,"POLYGON ((120.986938476562 14.5357326270088, 120.992431640625 14.5357326270088, 120.992431640625 14.5304152280074, 120.986938476562 14.5304152280074, 120.986938476562 14.5357326270088))",0.6261692049589395
The Philippines,30494,26600,18,363,"POLYGON ((120.992431640625 14.5410498980604, 120.997924804688 14.5410498980604, 120.997924804688 14.5357326270088, 120.992431640625 14.5357326270088, 120.992431640625 14.5410498980604))",0.4068632940086787
The Philippines,34048,28636,23,605,"POLYGON ((120.992431640625 14.5357326270088, 120.997924804688 14.5357326270088, 120.997924804688 14.5304152280074, 120.992431640625 14.5304152280074, 120.992431640625 14.5357326270088))",0.4709536655074174
The Philippines,35729,30127,17,242,"POLYGON ((120.986938476562 14.5304152280074, 120.992431640625 14.5304152280074, 120.992431640625 14.5250977010989, 120.986938476562 14.5250977010989, 120.986938476562 14.5304152280074))",0.4040701977434204
The Philippines,35729,30127,17,242,"POLYGON ((120.986938476562 14.5304152280074, 120.992431640625 14.5304152280074, 120.992431640625 14.5250977010989, 120.986938476562 14.5250977010989, 120.986938476562 14.5304152280074))",0.594829384831418
The Philippines,39059,37647,9,34,"POLYGON ((120.9814453125 14.5250977010989, 120.986938476562 14.5250977010989, 120.986938476562 14.5197800463261, 120.9814453125 14.5197800463261, 120.9814453125 14.5250977010989))",0.5189918848855203
The Philippines,39059,37647,9,34,"POLYGON ((120.9814453125 14.5250977010989, 120.986938476562 14.5250977010989, 120.986938476562 14.5197800463261, 120.9814453125 14.5197800463261, 120.9814453125 14.5250977010989))",0.387541579654538
The Philippines,66925,65898,8,185,"POLYGON ((120.986938476562 14.5250977010989, 120.992431640625 14.5250977010989, 120.992431640625 14.5197800463261, 120.986938476562 14.5197800463261, 120.986938476562 14.5250977010989))",0.6013189349970707
The Philippines,66925,65898,8,185,"POLYGON ((120.986938476562 14.5250977010989, 120.992431640625 14.5250977010989, 120.992431640625 14.5197800463261, 120.986938476562 14.5197800463261, 120.986938476562 14.5250977010989))",0.6528065191704501
The Philippines,66925,65898,8,185,"POLYGON ((120.986938476562 14.5250977010989, 120.992431640625 14.5250977010989, 120.992431640625 14.5197800463261, 120.986938476562 14.5197800463261, 120.986938476562 14.5250977010989))",0.6276750229754192
The Philippines,66925,65898,8,185,"POLYGON ((120.986938476562 14.5250977010989, 120.992431640625 14.5250977010989, 120.992431640625 14.5197800463261, 120.986938476562 14.5197800463261, 120.986938476562 14.5250977010989))",0.7860700208429585
The Philippines,33072,28251,19,1522,"POLYGON ((120.992431640625 14.5304152280074, 120.997924804688 14.5304152280074, 120.997924804688 14.5250977010989, 120.992431640625 14.5250977010989, 120.992431640625 14.5304152280074))",0.3419788347586546
The Philippines,73811,82312,11,756,"POLYGON ((120.992431640625 14.5250977010989, 120.997924804688 14.5250977010989, 120.997924804688 14.5197800463261, 120.992431640625 14.5197800463261, 120.992431640625 14.5250977010989))",0.4522497155331813
The Philippines,73811,82312,11,756,"POLYGON ((120.992431640625 14.5250977010989, 120.997924804688 14.5250977010989, 120.997924804688 14.5197800463261, 120.992431640625 14.5197800463261, 120.992431640625 14.5250977010989))",0.507900536660956
The Philippines,9981,6844,23,75,"POLYGON ((120.997924804688 14.5250977010989, 121.00341796875 14.5250977010989, 121.00341796875 14.5197800463261, 120.997924804688 14.5197800463261, 120.997924804688 14.5250977010989))",0.332090276500749
The Philippines,9981,6844,23,75,"POLYGON ((120.997924804688 14.5250977010989, 121.00341796875 14.5250977010989, 121.00341796875 14.5197800463261, 120.997924804688 14.5197800463261, 120.997924804688 14.5250977010989))",0.3211032484984269
The Philippines,6194,4427,23,5,"POLYGON ((121.00341796875 14.5250977010989, 121.008911132812 14.5250977010989, 121.008911132812 14.5197800463261, 121.00341796875 14.5197800463261, 121.00341796875 14.5250977010989))",0.3040753027755727
The Philippines,6194,4427,23,5,"POLYGON ((121.00341796875 14.5250977010989, 121.008911132812 14.5250977010989, 121.008911132812 14.5197800463261, 121.00341796875 14.5197800463261, 121.00341796875 14.5250977010989))",0.3416980246965919
The Philippines,6194,4427,23,5,"POLYGON ((121.00341796875 14.5250977010989, 121.008911132812 14.5250977010989, 121.008911132812 14.5197800463261, 121.00341796875 14.5197800463261, 121.00341796875 14.5250977010989))",0.3404437737862592
The Philippines,6194,4427,23,5,"POLYGON ((121.00341796875 14.5250977010989, 121.008911132812 14.5250977010989, 121.008911132812 14.5197800463261, 121.00341796875 14.5197800463261, 121.00341796875 14.5250977010989))",0.341815440436094
The Philippines,79525,72805,8,236,"POLYGON ((121.008911132812 14.5250977010989, 121.014404296875 14.5250977010989, 121.014404296875 14.5197800463261, 121.008911132812 14.5197800463261, 121.008911132812 14.5250977010989))",0.4080644192909399
The Philippines,79525,72805,8,236,"POLYGON ((121.008911132812 14.5250977010989, 121.014404296875 14.5250977010989, 121.014404296875 14.5197800463261, 121.008911132812 14.5197800463261, 121.008911132812 14.5250977010989))",0.3418697812837757
The Philippines,31142,20046,21,834,"POLYGON ((121.014404296875 14.5250977010989, 121.019897460938 14.5250977010989, 121.019897460938 14.5197800463261, 121.014404296875 14.5197800463261, 121.014404296875 14.5250977010989))",0.4393172319139531
The Philippines,43999,36827,18,1919,"POLYGON ((121.058349609375 14.5888995727386, 121.063842773438 14.5888995727386, 121.063842773438 14.5835834551565, 121.058349609375 14.5835834551565, 121.058349609375 14.5888995727386))",0.3326214606451407
The Philippines,56742,44321,11,1946,"POLYGON ((121.036376953125 14.5676343325769, 121.041870117188 14.5676343325769, 121.041870117188 14.5623177019148, 121.036376953125 14.5623177019148, 121.036376953125 14.5676343325769))",0.310896668933227
The Philippines,41313,41877,18,1471,"POLYGON ((121.041870117188 14.5676343325769, 121.04736328125 14.5676343325769, 121.04736328125 14.5623177019148, 121.041870117188 14.5623177019148, 121.041870117188 14.5676343325769))",0.344376368717384
The Philippines,40452,36726,14,1865,"POLYGON ((121.058349609375 14.5835834551565, 121.063842773438 14.5835834551565, 121.063842773438 14.5782672092405, 121.058349609375 14.5782672092405, 121.058349609375 14.5835834551565))",0.307305528516765
The Philippines,45320,35682,13,1020,"POLYGON ((121.058349609375 14.5782672092405, 121.063842773438 14.5782672092405, 121.063842773438 14.572950835033, 121.058349609375 14.572950835033, 121.058349609375 14.5782672092405))",0.3265132508323144
The Philippines,49723,45995,14,1699,"POLYGON ((121.063842773438 14.5782672092405, 121.0693359375 14.5782672092405, 121.0693359375 14.572950835033, 121.063842773438 14.572950835033, 121.063842773438 14.5782672092405))",0.3464539281391259
The Philippines,39409,32896,14,2190,"POLYGON ((121.04736328125 14.5676343325769, 121.052856445312 14.5676343325769, 121.052856445312 14.5623177019148, 121.04736328125 14.5623177019148, 121.04736328125 14.5676343325769))",0.3731820675313629
The Philippines,37804,29523,25,644,"POLYGON ((121.052856445312 14.5676343325769, 121.058349609375 14.5676343325769, 121.058349609375 14.5623177019148, 121.052856445312 14.5623177019148, 121.052856445312 14.5676343325769))",0.3286533912895056
The Philippines,50633,50108,12,1960,"POLYGON ((121.063842773438 14.572950835033, 121.0693359375 14.572950835033, 121.0693359375 14.5676343325769, 121.063842773438 14.5676343325769, 121.063842773438 14.572950835033))",0.3116479687465492
The Philippines,51599,46379,13,1104,"POLYGON ((121.036376953125 14.5623177019148, 121.041870117188 14.5623177019148, 121.041870117188 14.5570009430895, 121.036376953125 14.5570009430895, 121.036376953125 14.5623177019148))",0.3123312495553905
The Philippines,38903,36762,10,1882,"POLYGON ((121.041870117188 14.5623177019148, 121.04736328125 14.5623177019148, 121.04736328125 14.5570009430895, 121.041870117188 14.5570009430895, 121.041870117188 14.5623177019148))",0.3668698284498337
The Philippines,42547,27239,15,2268,"POLYGON ((121.041870117188 14.5570009430895, 121.04736328125 14.5570009430895, 121.04736328125 14.5516840561434, 121.041870117188 14.5516840561434, 121.041870117188 14.5570009430895))",0.3888268824778317
The Philippines,56216,37360,14,2006,"POLYGON ((121.041870117188 14.5516840561434, 121.04736328125 14.5516840561434, 121.04736328125 14.5463670411195, 121.041870117188 14.5463670411195, 121.041870117188 14.5516840561434))",0.3764545596094074
The Philippines,45467,43359,14,2428,"POLYGON ((121.04736328125 14.5623177019148, 121.052856445312 14.5623177019148, 121.052856445312 14.5570009430895, 121.04736328125 14.5570009430895, 121.04736328125 14.5623177019148))",0.5082820823248583
The Philippines,40972,38014,15,780,"POLYGON ((121.052856445312 14.5623177019148, 121.058349609375 14.5623177019148, 121.058349609375 14.5570009430895, 121.052856445312 14.5570009430895, 121.052856445312 14.5623177019148))",0.5287916599755602
The Philippines,40972,38014,15,780,"POLYGON ((121.052856445312 14.5623177019148, 121.058349609375 14.5623177019148, 121.058349609375 14.5570009430895, 121.052856445312 14.5570009430895, 121.052856445312 14.5623177019148))",0.383097371718588
The Philippines,51450,50364,14,670,"POLYGON ((121.04736328125 14.5570009430895, 121.052856445312 14.5570009430895, 121.052856445312 14.5516840561434, 121.04736328125 14.5516840561434, 121.04736328125 14.5570009430895))",0.6041631315243837
The Philippines,49024,29751,15,801,"POLYGON ((121.052856445312 14.5570009430895, 121.058349609375 14.5570009430895, 121.058349609375 14.5516840561434, 121.052856445312 14.5516840561434, 121.052856445312 14.5570009430895))",0.5182450519753312
The Philippines,49024,29751,15,801,"POLYGON ((121.052856445312 14.5570009430895, 121.058349609375 14.5570009430895, 121.058349609375 14.5516840561434, 121.052856445312 14.5516840561434, 121.052856445312 14.5570009430895))",0.3720279418385906
The Philippines,51392,41740,16,2482,"POLYGON ((121.04736328125 14.5516840561434, 121.052856445312 14.5516840561434, 121.052856445312 14.5463670411195, 121.04736328125 14.5463670411195, 121.04736328125 14.5516840561434))",0.5813488538148518
The Philippines,47685,27278,16,1444,"POLYGON ((121.052856445312 14.5516840561434, 121.058349609375 14.5516840561434, 121.058349609375 14.5463670411195, 121.052856445312 14.5463670411195, 121.052856445312 14.5516840561434))",0.480002867696322
The Philippines,47685,27278,16,1444,"POLYGON ((121.052856445312 14.5516840561434, 121.058349609375 14.5516840561434, 121.058349609375 14.5463670411195, 121.052856445312 14.5463670411195, 121.052856445312 14.5516840561434))",0.3398136685460214
The Philippines,33979,23404,16,2732,"POLYGON ((121.052856445312 14.5463670411195, 121.058349609375 14.5463670411195, 121.058349609375 14.5410498980604, 121.052856445312 14.5410498980604, 121.052856445312 14.5463670411195))",0.3179771376684008
The Philippines,33979,23404,16,2732,"POLYGON ((121.052856445312 14.5463670411195, 121.058349609375 14.5463670411195, 121.058349609375 14.5410498980604, 121.052856445312 14.5410498980604, 121.052856445312 14.5463670411195))",0.3270384976023551
The Philippines,39026,36879,19,1921,"POLYGON ((121.058349609375 14.5463670411195, 121.063842773438 14.5463670411195, 121.063842773438 14.5410498980604, 121.058349609375 14.5410498980604, 121.058349609375 14.5463670411195))",0.3090435977514331
The Philippines,39026,36879,19,1921,"POLYGON ((121.058349609375 14.5463670411195, 121.063842773438 14.5463670411195, 121.063842773438 14.5410498980604, 121.058349609375 14.5410498980604, 121.058349609375 14.5463670411195))",0.3262329845671549
The Philippines,30071,26026,21,2200,"POLYGON ((121.058349609375 14.5410498980604, 121.063842773438 14.5410498980604, 121.063842773438 14.5357326270088, 121.058349609375 14.5357326270088, 121.058349609375 14.5410498980604))",0.3023750107788315
The Philippines,33711,26224,19,777,"POLYGON ((121.09130859375 14.5623177019148, 121.096801757812 14.5623177019148, 121.096801757812 14.5570009430895, 121.09130859375 14.5570009430895, 121.09130859375 14.5623177019148))",0.345940744782019
The Philippines,39083,33661,20,399,"POLYGON ((121.09130859375 14.5570009430895, 121.096801757812 14.5570009430895, 121.096801757812 14.5516840561434, 121.09130859375 14.5516840561434, 121.09130859375 14.5570009430895))",0.4558980156629045
The Philippines,47199,47435,11,639,"POLYGON ((121.096801757812 14.5570009430895, 121.102294921875 14.5570009430895, 121.102294921875 14.5516840561434, 121.096801757812 14.5516840561434, 121.096801757812 14.5570009430895))",0.3557601465011052
The Philippines,37545,56740,16,51,"POLYGON ((120.975952148438 14.5197800463261, 120.9814453125 14.5197800463261, 120.9814453125 14.5144622637317, 120.975952148438 14.5144622637317, 120.975952148438 14.5197800463261))",0.3163824088582518
The Philippines,54552,35842,13,74,"POLYGON ((120.975952148438 14.5144622637317, 120.9814453125 14.5144622637317, 120.9814453125 14.5091443533584, 120.975952148438 14.5091443533584, 120.975952148438 14.5144622637317))",0.3733938153867223
The Philippines,33416,25753,3,16,"POLYGON ((120.9814453125 14.5197800463261, 120.986938476562 14.5197800463261, 120.986938476562 14.5144622637317, 120.9814453125 14.5144622637317, 120.9814453125 14.5197800463261))",0.4531305000478874
The Philippines,6407,902,64,2,"POLYGON ((120.986938476562 14.5197800463261, 120.992431640625 14.5197800463261, 120.992431640625 14.5144622637317, 120.986938476562 14.5144622637317, 120.986938476562 14.5197800463261))",0.3610778975746325
The Philippines,55510,66666,57,134,"POLYGON ((120.9814453125 14.5144622637317, 120.986938476562 14.5144622637317, 120.986938476562 14.5091443533584, 120.9814453125 14.5091443533584, 120.9814453125 14.5144622637317))",0.3721650008539831
The Philippines,37084,30783,14,381,"POLYGON ((120.997924804688 14.5197800463261, 121.00341796875 14.5197800463261, 121.00341796875 14.5144622637317, 120.997924804688 14.5144622637317, 120.997924804688 14.5197800463261))",0.302060990263039
The Philippines,26900,18811,22,202,"POLYGON ((120.997924804688 14.5091443533584, 121.00341796875 14.5091443533584, 121.00341796875 14.503826315249, 120.997924804688 14.503826315249, 120.997924804688 14.5091443533584))",0.3785125534405309
The Philippines,42162,51609,16,14,"POLYGON ((121.00341796875 14.5197800463261, 121.008911132812 14.5197800463261, 121.008911132812 14.5144622637317, 121.00341796875 14.5144622637317, 121.00341796875 14.5197800463261))",0.3158916765447189
The Philippines,106412,100456,4,20,"POLYGON ((121.008911132812 14.5197800463261, 121.014404296875 14.5197800463261, 121.014404296875 14.5144622637317, 121.008911132812 14.5144622637317, 121.008911132812 14.5197800463261))",0.3711540158236021
The Philippines,33402,22824,13,529,"POLYGON ((121.00341796875 14.5144622637317, 121.008911132812 14.5144622637317, 121.008911132812 14.5091443533584, 121.00341796875 14.5091443533584, 121.00341796875 14.5144622637317))",0.3830396071699954
The Philippines,63227,56963,4,52,"POLYGON ((121.008911132812 14.5144622637317, 121.014404296875 14.5144622637317, 121.014404296875 14.5091443533584, 121.008911132812 14.5091443533584, 121.008911132812 14.5144622637317))",0.5087442763988704
The Philippines,22154,20855,10,83,"POLYGON ((121.014404296875 14.5197800463261, 121.019897460938 14.5197800463261, 121.019897460938 14.5144622637317, 121.014404296875 14.5144622637317, 121.014404296875 14.5197800463261))",0.4271228915523593
The Philippines,30956,22353,21,134,"POLYGON ((121.019897460938 14.5197800463261, 121.025390625 14.5197800463261, 121.025390625 14.5144622637317, 121.019897460938 14.5144622637317, 121.019897460938 14.5197800463261))",0.3755610125143204
The Philippines,24680,23742,13,4,"POLYGON ((121.014404296875 14.5144622637317, 121.019897460938 14.5144622637317, 121.019897460938 14.5091443533584, 121.014404296875 14.5091443533584, 121.014404296875 14.5144622637317))",0.3804196491799709
The Philippines,93581,81365,7,259,"POLYGON ((121.00341796875 14.5091443533584, 121.008911132812 14.5091443533584, 121.008911132812 14.503826315249, 121.00341796875 14.503826315249, 121.00341796875 14.5091443533584))",0.3960846290034411
The Philippines,93581,81365,7,259,"POLYGON ((121.00341796875 14.5091443533584, 121.008911132812 14.5091443533584, 121.008911132812 14.503826315249, 121.00341796875 14.503826315249, 121.00341796875 14.5091443533584))",0.4764520681317591
The Philippines,93581,81365,7,259,"POLYGON ((121.00341796875 14.5091443533584, 121.008911132812 14.5091443533584, 121.008911132812 14.503826315249, 121.00341796875 14.503826315249, 121.00341796875 14.5091443533584))",0.45907734090417
