longitude,latitude,light_intensity,year,normalized_light_intensity
121.7416690806,25.1291662677,76.657364,2020,0.3029270093887682
121.2416690766,25.0999996008,93.18375,2020,0.3682343513811749
121.2375024099,25.0958329341,111.68574,2020,0.4413486903824598
121.2416690766,25.0958329341,107.22641,2020,0.4237267499674775
121.2458357433,25.0916662674,80.69616,2020,0.318887125025034
121.25000241,25.0916662674,78.854836,2020,0.3116107624744542
121.2416690766,25.0874996007,104.51964,2020,0.4130304032837689
121.2458357433,25.0874996007,83.91827,2020,0.3316199414863676
121.2333357432,25.083332934,98.05579,2020,0.387487198463452
121.2375024099,25.083332934,153.41997,2020,0.6062699037318129
121.2416690766,25.083332934,149.12463,2020,0.5892960028224631
121.2458357433,25.083332934,79.66677,2020,0.314819283164535
121.5541690791,25.083332934,76.1951,2020,0.301100280112399
121.2291690765,25.0791662673,76.12902,2020,0.3008391516866888
121.2333357432,25.0791662673,175.68236,2020,0.6942442205182134
121.2375024099,25.0791662673,253.05556,2020,1.0
121.2416690766,25.0791662673,209.39445,2020,0.8274643323387164
121.2458357433,25.0791662673,82.16346,2020,0.3246854564270391
121.2291690765,25.0749996006,85.539566,2020,0.3380268190906376
121.2333357432,25.0749996006,162.53876,2020,0.642304638554474
121.2375024099,25.0749996006,181.09299,2020,0.7156254144346798
121.2416690766,25.0749996006,137.12793,2020,0.541888627145754
121.2291690765,25.0708329339,76.30169,2020,0.3015214919601054
121.2333357432,25.0708329339,111.990364,2020,0.4425524734568171
121.5875024127,25.0624996005,78.24193,2020,0.3091887410021736
121.4875024119,25.0583329338,77.765274,2020,0.3073051388398658
121.5250024122,25.0583329338,77.15659,2020,0.3048998014507169
121.5791690793,25.0583329338,78.054115,2020,0.3084465522116961
121.583335746,25.0583329338,77.56042,2020,0.3064956170099562
121.5125024121,25.0541662671,105.875374,2020,0.4183878591721122
121.5166690788,25.0541662671,96.37115,2020,0.3808300042883863
121.5208357455,25.0541662671,81.08214,2020,0.32041240271504
121.5250024122,25.0541662671,80.19254,2020,0.3168969691873199
121.5750024126,25.0541662671,77.793625,2020,0.3074171735250551
121.5791690793,25.0541662671,81.05147,2020,0.3202912040344025
121.5083357454,25.0499996004,89.96694,2020,0.3555224789370365
121.5125024121,25.0499996004,104.29019,2020,0.4121236854072678
121.5166690788,25.0499996004,99.37458,2020,0.3926986626968401
121.5208357455,25.0499996004,88.76968,2020,0.3507912649696375
121.5250024122,25.0499996004,88.69477,2020,0.3504952430209397
121.5291690789,25.0499996004,85.03922,2020,0.3360496011231683
121.5333357456,25.0499996004,79.06028,2020,0.3124226158081648
121.5708357459,25.0499996004,79.92385,2020,0.3158351865495467
121.5750024126,25.0499996004,81.18106,2020,0.3208033050133338
121.5041690787,25.0458329337,76.34218,2020,0.3016814963480747
121.5083357454,25.0458329337,99.01277,2020,0.3912688976286472
121.5125024121,25.0458329337,92.94989,2020,0.3673102065016868
121.5166690788,25.0458329337,89.67272,2020,0.3543598093636038
121.5208357455,25.0458329337,81.07576,2020,0.3203871908603786
121.5250024122,25.0458329337,80.08127,2020,0.3164572633772599
121.5291690789,25.0458329337,76.036804,2020,0.3004747415942965
121.5041690787,25.041666267,83.10984,2020,0.3284252675578438
121.5083357454,25.041666267,103.55561,2020,0.4092208446240027
121.5125024121,25.041666267,86.74808,2020,0.3428025055051151
121.5666690792,25.041666267,88.111534,2020,0.3481904685279391
121.5083357454,25.0374996003,76.37572,2020,0.3018140364116086
121.5625024125,25.0374996003,91.345215,2020,0.3609690101256814
121.5666690792,25.0374996003,135.10722,2020,0.5339033846954401
121.5708357459,25.0374996003,108.5938,2020,0.4291302668868449
121.5666690792,25.0333329336,130.7908,2020,0.516846181921472
121.5708357459,25.0333329336,100.11513,2020,0.3956250951372101
121.4416690782,24.9833329332,79.40054,2020,0.3137672217121015
121.2208357431,24.9624995997,84.615204,2020,0.3343740165203246
121.2166690764,24.958332933,83.84925,2020,0.3313471950586661
121.2208357431,24.958332933,96.31096,2020,0.3805921513836723
121.2250024098,24.958332933,84.553734,2020,0.334131105437873
121.2208357431,24.9541662663,82.0965,2020,0.3244208505041343
121.2250024098,24.9541662663,81.36454,2020,0.3215283631784261
120.6333357384,24.1749995934,77.54918,2020,0.3064511998866968
120.6375024051,24.1749995934,77.54421,2020,0.3064315599309495
120.6375024051,24.1708329267,82.23812,2020,0.3249804904503975
120.6375024051,24.16666626,78.76162,2020,0.3112424006807042
120.6750024054,24.1458329265,76.73783,2020,0.3032449869902088
120.6791690721,24.1458329265,82.25545,2020,0.3250489734349246
120.6833357388,24.1416662598,79.97292,2020,0.316029096535164
120.6875024055,24.1416662598,82.62396,2020,0.3265052149022135
120.6833357388,24.1374995931,79.781425,2020,0.3152723654836906
120.6875024055,24.1374995931,87.70569,2020,0.3465866942421656
120.6916690722,24.1374995931,78.06185,2020,0.3084771186216971
120.6875024055,24.1333329264,77.25704,2020,0.3052967498520878
120.5125024041,23.9249995914,77.932976,2020,0.3079678470609379
