longitude,latitude,light_intensity,year,normalized_light_intensity
120.1000024008,16.124999529000004,59.357586,2020,0.358053086786224
120.5500024044,15.1874995215,50.220715,2020,0.3029382297716962
120.5458357377,15.183332854800003,64.02257,2020,0.3861929090661993
120.5500024044,15.183332854800003,73.45185,2020,0.4430716172092764
120.5458357377,15.179166188100002,60.7452,2020,0.3664233644448838
120.5500024044,15.179166188100002,54.396633,2020,0.3281279389702165
120.9666690744,14.754166184700004,55.331203,2020,0.3337653931840351
121.0375024083,14.641666183800002,57.47288,2020,0.346684282115082
121.041669075,14.641666183800002,54.643368,2020,0.3296162782764713
120.9541690743,14.637499517100004,50.584866,2020,0.3051348384681195
121.0375024083,14.637499517100004,51.47915,2020,0.3105292820134404
120.958335741,14.620832850300005,52.217083,2020,0.3149805949170922
121.0500024084,14.620832850300005,52.946808,2020,0.3193823960407948
121.0541690751,14.620832850300005,60.750137,2020,0.3664531451049239
120.958335741,14.616666183600003,88.961685,2020,0.536629065743235
120.9625024077,14.616666183600003,56.31134,2020,0.3396777137814966
121.0541690751,14.616666183600003,54.10115,2020,0.3263455450527338
120.958335741,14.612499516900002,89.53049,2020,0.5400601753916199
120.9625024077,14.612499516900002,67.09237,2020,0.4047103630242553
120.9500024076,14.608332850200004,73.88574,2020,0.4456889011032959
120.958335741,14.608332850200004,70.96385,2020,0.4280636605190545
120.9625024077,14.608332850200004,72.34769,2020,0.4364111728929278
120.958335741,14.604166183500002,69.90757,2020,0.4216920349190756
120.9625024077,14.604166183500002,73.57488,2020,0.4438137510161888
120.9666690744,14.604166183500002,58.07485,2020,0.350315447584862
120.9708357411,14.604166183500002,50.980244,2020,0.3075198127045611
120.9500024076,14.599999516800002,142.28844,2020,0.8583033541154527
120.9541690743,14.599999516800002,121.14939,2020,0.7307897098741195
120.958335741,14.599999516800002,67.399994,2020,0.406565993116246
120.9625024077,14.599999516800002,60.086452,2020,0.3624497063043009
120.9666690744,14.599999516800002,51.491093,2020,0.3106013238248357
120.9458357409,14.595832850100004,85.27695,2020,0.5144022396600577
120.9500024076,14.595832850100004,113.74062,2020,0.6860989947262837
120.9791690745,14.595832850100004,50.612144,2020,0.305299383099388
120.9666690744,14.591666183400005,66.42019,2020,0.4006556812203833
120.9708357411,14.591666183400005,57.849987,2020,0.3489590431776139
